,Link,Type,Price,Condition,Is description,Picture count,Upload Date,Is Sold Day #1,Is Sold Day #2,Is Sold Day #3,Is Sold Day #4,Is Sold Day #5
0,https://www.yad2.co.il/item/qnc6uqsr,דלתות,"3,000 ₪",חדש באריזה,yes,4,2022-06-21,0,0,0,0,1
1,https://www.yad2.co.il/item/dode0qo2,ריהוט לחדרי ילדים,700 ₪,כמו חדש,yes,2,2022-06-21,0,0,0,0,0
2,https://www.yad2.co.il/item/02u6z3ky,מזנון / ויטרינה,700 ₪,כמו חדש,yes,2,2022-06-21,0,0,0,0,0
3,https://www.yad2.co.il/item/25me9z8c,מיטות,"1,200 ₪",כמו חדש,yes,3,2022-06-21,0,0,0,0,0
4,https://www.yad2.co.il/item/6j58dxay,ספות,"2,500 ₪",משומש,yes,10,2022-06-21,0,0,0,0,0
5,https://www.yad2.co.il/item/6qetko5x,מיטות,800 ₪,משומש,yes,6,2022-06-21,0,0,0,0,0
6,https://www.yad2.co.il/item/39amk1yt,מיטות,"1,500 ₪",משומש,yes,2,2022-06-21,0,0,0,0,0
7,https://www.yad2.co.il/item/dcq6ww20,כסאות,150 ₪,כמו חדש,yes,2,2022-06-21,0,0,0,0,0
8,https://www.yad2.co.il/item/j0gk5s1r,ספות,"5,000 ₪",כמו חדש,yes,3,2022-06-21,0,0,0,0,0
9,https://www.yad2.co.il/item/lqyd9npt,ספות,"2,500 ₪",כמו חדש,yes,0,2022-06-21,0,0,0,0,0
10,https://www.yad2.co.il/item/gowg1i13,סלון,"3,500 ₪",כמו חדש,yes,0,2022-06-21,0,0,0,0,0
11,https://www.yad2.co.il/item/4en25e8s,מיטות,"2,500 ₪",משומש,yes,0,2022-06-21,0,0,0,0,0
12,https://www.yad2.co.il/item/qu066a2w,סלון,"5,000 ₪",כמו חדש,yes,6,2022-06-21,0,0,0,0,0
13,https://www.yad2.co.il/item/xs4v71qj,ספות,"1,100 ₪",כמו חדש,yes,8,2022-06-21,0,0,0,1,1
14,https://www.yad2.co.il/item/66m7nojc,מדפים,900 ₪,לא רלוונטי,yes,4,2022-06-21,0,0,0,0,0
15,https://www.yad2.co.il/item/nqtpq4u5,מזנון / ויטרינה,"1,300 ₪",כמו חדש,yes,2,2022-06-21,0,0,0,0,0
16,https://www.yad2.co.il/item/xu4b35ul,סלון,"3,000 ₪",כמו חדש,yes,0,2022-06-21,0,0,0,0,0
17,https://www.yad2.co.il/item/328333,דלתות,"1,000 ₪",כמו חדש,yes,0,2022-06-21,0,0,0,0,0
18,https://www.yad2.co.il/item/66m7nojc,מדפים,900 ₪,לא רלוונטי,yes,4,2022-06-21,0,0,0,0,0
19,https://www.yad2.co.il/item/nqtpq4u5,מזנון / ויטרינה,"1,300 ₪",כמו חדש,yes,2,2022-06-21,0,0,0,0,0
20,https://www.yad2.co.il/item/xu4b35ul,סלון,"3,000 ₪",כמו חדש,yes,0,2022-06-21,0,0,0,0,0
21,https://www.yad2.co.il/item/60awwb08,ספות,"2,900 ₪",חדש באריזה,yes,4,2022-06-21,0,0,0,0,0
22,https://www.yad2.co.il/item/1cdejhey,ספות,900 ₪,כמו חדש,yes,3,2022-06-21,0,0,0,0,0
23,https://www.yad2.co.il/item/bwjwlgq5,ריהוט לחדרי ילדים,750 ₪,משומש,yes,9,2022-06-21,1,1,1,1,1
24,https://www.yad2.co.il/item/6iaur682,פינת אוכל,"5,900 ₪",כמו חדש,yes,2,2022-06-21,0,0,0,0,0
25,https://www.yad2.co.il/item/ujzm7b84,מיטות,400 ₪,משומש,yes,4,2022-06-21,1,1,1,1,1
26,https://www.yad2.co.il/item/b3m8r33l,מיטות,"3,000 ₪",כמו חדש,yes,6,2022-06-21,0,0,0,0,0
27,https://www.yad2.co.il/item/6zaxj99t,פינת אוכל,"4,200 ₪",כמו חדש,yes,0,2022-06-21,0,0,0,0,0
